slang|||neu|||411|||Another term used for "information". Hence dialing 411 for information.|||Damn she's fine, I am gonna go get the 411 on her.|||1016,178
slang|||neu|||411|||what's happening/going on|||person 1: what's the 411 homie?person 2: it's all good holmesperson 1: word|||536,252
slang|||neu|||411|||Information on something, usually a person or event.|||After this commercial break, we'll give you the 411 on the hip new singer, Bangle. Where can I get the 411 on Katherine? She's totally cute, I want to get to know her better. The newspaper gave me the 411 on the bombings. Now I know what really happened.|||310,128
slang|||neu|||411|||1. slang for 'the info' 2. asking for the low-down on something 3. 'information'|||Hey man, we're heading out to that wedding tonight...but I need the 4-1-1.|||37,17
slang|||neu|||411|||Erection.  Often used to avoid a potentially innapropriate situation when ladies are around.|||"Hey, can you get up and grab me a soda?""I can't.  Four-eleven."|||48,41
slang|||neu|||411|||information on something|||I gave him the 411 on the standoff.|||69,74
slang|||neg|||411|||Sexual information about someone that often gets passed on from person to person.|||Did you hear the 411 on Linda. She gave Jack a blowjob.|||39,101
slang|||neg|||catch u next tuesday|||callin sum guy or chick a cunt in shorti first heard it in american dad tv show|||'tams i got to go. francine is bein a real "catch u next tuesday"|||17,8
slang|||neu|||mosquito bites|||Breasts characterized by smallness of size, but with pointier, harder, and possibly longer nipples (similar in appearance to the raised area of skin after being bitten by a mosquito).|||She's got a small rack, but you've got to admit, those are some cute mosquito bites.|||559,171
slang|||neg|||mosquito bites|||When one's tatas are so small they look similar to mosquito bites.  The chick in a group of girls with the smallest bazooms.|||Wow Teresa you don't even need a bra for them mosquito bites!|||298,127
slang|||neg|||mosquito bites|||small breast|||why do you use a bra," mosquito bites"?|||100,56
slang|||neg|||mosquito bites|||1)A female suffering from undersized mammary glands. 2)An irreversible disorder that affects many unlucky women.3)Small ass boobs; This may correlate with flat asses.4)DONT MESS WITH DEM EASTFIELD NIGGAZZ...|||Blessy Thomas from Mesquite, Texas suffers from mosquito bites.|||78,43
slang|||neg|||mosquito bites|||Boobs that are extremely small. Boobs that are the size of mosquito bites|||I'm a guy and i have bigger boobs than that chick... She's got mosquito bites...|||38,32
slang|||neg|||mosquito bites|||mosquito bites is another phrase meaning no boobs at all|||omg that girll alice has no boobs she has mosquito bites|||45,57
slang|||neg|||mosquito bites|||really small muscles|||That guy has incredibly small mosquito bites|||22,74
slang|||neu|||pinched|||caught.|||Vinny shot the guy in front of a dozen people. He was sure to get pinched.|||277,134
slang|||neg|||pinched|||to get arrested by the police.... a very old term.|||I was pinched by the cops.|||169,45
slang|||neg|||pinched|||To get downed by a zombie or more. (Referred to Call of Duty Nazi Zombies.)|||Damn it why did you guys use the teleporter?! I got pinched by a million zombies!!|||9,31
slang|||neg|||pinched|||the name for when you've been doing an eight ball of cocaine to yourself and are feeling paranoid and nervous.|||you are so pinched on coke, I can't believe you are going to a family dinner in 10 minutes.|||14,38
slang|||neg|||pinched|||To take a small amount of weed.|||I just pinched some from the bag for now.|||42,78
slang|||neu|||Tryina|||Trying to|||Guy: Hey so uhhh, you tryina fuck later?Girl: Yeah totes.|||8,1
slang|||neu|||Tryina|||wantin 2 do sumthin|||Guy 1: Yo ur girl hook u up wit a lil dome?Guy 2: Dome? Im tryina beat|||5,5
ref|||neg|||Put on airs|||Putting on Air Jordan Shoes in an attempt to become cool.|||"All you sucker DJ's who think you're flyThere's got to be a reason and we know the reason whyYou try to Put on airs and act real coolBut ya got to realize that you're acting like fools" ~ Cameo|||12,17
slang|||neu|||herking|||Something exhibiting action at the top rate possible.|||That water is at a herking boil.The fire is herking now.Wow, this party is herking.|||1,1
common|||neu|||Lift|||British for "elevator."|||I'd rather ride on the lift as opposed to taking the stairs.|||149,71
slang|||neg|||Lift|||To take that which is not yourssyn. gank, steal, boost, heist, etc.|||I lifted some money from that store back there.|||150,74
slang|||neu|||Lift|||An uncommon hallucinogenic drug.|||Hey man, this is really great lift.|||115,46
slang|||neu|||Lift|||1. to steal2. to lift weights, to pump iron 3. a ride|||Guy 1: My biceps are so sore.Guy 2: Were you lifting yesterday? Guy 1: Could you give me a lift?Guy 2: Sure|||91,51
slang|||neu|||Lift|||1. to steal   2. to plagiarize 3. a ride|||If you ever need a lift you can always call me.|||78,64
nodef|||neg|||Lift|||Something you don't do.|||Dom Mazzetti - Do you even lift?|||2,0
slang|||neg|||Lift|||To steal from someones pocket. Basically it is the action of active pickpocketing in which the stealer removes(lifts) the wallet or desired item from the victims clothes and walks away. Must be done whilst moving|||" I was on the tube and lifted to wallets while exiting."" How much did you get on your last lift"" Bob over there is a worldclass lifter, if you want to learn talk to him"|||32,33
slang|||neu|||get busy|||have sex|||i wanna get busy!|||309,64
slang|||neu|||get busy|||to get things started off, to get going, to get a group of people excited and dancing let's go.|||the football team had a big game against their rival friday night and they knew it was time to get busy on the field.|||35,47
slang|||neu|||get busy|||to dance|||"Woman, Get busy" - Sean Paul 'Get Busy'|||38,71
slang|||neu|||get busy|||To skin up a joint of marijuana.|||Hey bruv, get busy for me. Now that we have scored this fine skunk weed its time to get busy.|||13,59
slang|||neu|||gaff|||"gaff" is an irish slang word for "house", its also used across Scotland and parts of England and Wales|||dave - " come on over to my gaff, we can watch a film or something " kevin - " ok, but dont try and touch me "|||397,123
slang|||neu|||gaff|||Noun. British slang for one's flat/apartment.|||"I spent the night at Kat's gaff." "You lucky fuck."|||402,191
slang|||neu|||gaff|||One's private residence.|||You want to come over to my gaff for some beers?|||242,147
slang|||neu|||gaff|||Someones House, where they live, used in Dublin, Ireland|||"Ive got a free gaff so im having a party"|||162,76
slang|||neu|||gaff|||An irish expression refering to ones house|||stall on down to my gaff|||133,77
slang|||neu|||gaff|||Panties designed for men to hide their bulge and tuck it underneath them like a good crossdresser should|||It took Mike a few minutes to put on his gaff to begin his transformation to Michelle|||116,81
slang|||neu|||gaff|||1. A mistake2. Place of abode|||1. "Anyway, he just tells his mum he just tripped up while his pants were round his ankles and just happened to fall on to the dog with his erect penis." "What a gaff!" 2. "What you doin' you dirty little smack-head, comin' in my gaff, tootin' your gear? I'm gunna bust you up."|||63,53
slang|||pos|||danky|||Adj.- Used when describing really potent/dank weed. Only used on special occasions when extremely good bud comes around.|||Group of stoners: Damn, i can smell that all the way from over here! Carrie: I know, Its some danky ass bud! Group of stoners: Pass that shit! Carrie: Only if you can hang with me .. ;)|||125,48
slang|||neu|||danky|||high potent marijuana that gets you really fucked up|||damn im ripped off those dankies|||57,10
slang|||pos|||danky|||good|||that pizza was danky|||55,29
slang|||neu|||danky|||'Dankies' or 'Danks' referring to any amount of dank nugget, the kind of bud that Snoop Dogg calls "sticky icky icky"|||Yo whats up man, got any dankies?|||21,12
slang|||neg|||danky|||Just a bit too dank.|||The chocolate cake was dark, rich, and smothered in fudge -- a bit danky for Brendan's tastes.|||56,52
slang|||pos|||danky|||to be thin and tall gracefullyopposite of lanky|||dayna got so danky recently|||22,23
slang|||neu|||danky|||A mixed drink originating at High Point University made into a large container with a spout and placed in the fridge for easy dispensing. At least a handle of vodka is used but mixed so beautifully the alcohol cannot be tasted, resulting in many fun times and coyote ugly as the only consequence. Concocted from the masterminds of The Blessed 503.|||Student 1: what the hell happened last night?Student 2: you drank some DankyStudent 1: that explains everything...|||27,29
abbr|||neu|||TLA|||Three-Letter-Acronym|||TLA is a three-letter-acronym for three-letter-acronyms|||227,51
abbr|||neu|||TLA|||Stands for "Three Letter Acronym" or "Three letter abbreviation". See also XTLA.|||ATM is a common TLA, or BMW, or XML and so on.|||44,29
abbr|||neu|||TLA|||Three Letter Acronym.  Slightly shorter and more common than FFLAs|||Web developers are filled with TLAs.|||25,20
abbr|||neu|||TLA|||A Three letter Acronym, that is always used on the best of occasions....|||Damn bro, I hate T.L.A's... My brain is like, totally melting...|||6,3
abbr|||pos|||TLA|||True Love Always- One Tree Hill ...need i say more? :P|||It always have been and will be Lucas and Peyton, TLA (True Love Always).|||62,60
abbr|||neg|||TLA|||Too long and stupid.|||tlas; dgaf.|||1,2
abbr|||neu|||TLA|||Three Letter Acronym. A circular self-reference|||X.Y.Z.? What's that mean? I'm not familiar with that T.L.A.|||2,5
