411|||Another term used for "information". Hence dialing 411 for information.|||Damn she's fine, I am gonna go get the 411 on her.|||1016,178
411|||what's happening/going on|||person 1: what's the 411 homie?person 2: it's all good holmesperson 1: word|||536,252
411|||Information on something, usually a person or event.|||After this commercial break, we'll give you the 411 on the hip new singer, Bangle. Where can I get the 411 on Katherine? She's totally cute, I want to get to know her better. The newspaper gave me the 411 on the bombings. Now I know what really happened.|||310,128
411|||1. slang for 'the info' 2. asking for the low-down on something 3. 'information'|||Hey man, we're heading out to that wedding tonight...but I need the 4-1-1.|||37,17
411|||Erection.  Often used to avoid a potentially innapropriate situation when ladies are around.|||"Hey, can you get up and grab me a soda?""I can't.  Four-eleven."|||48,41
411|||information on something|||I gave him the 411 on the standoff.|||69,74
411|||Sexual information about someone that often gets passed on from person to person.|||Did you hear the 411 on Linda. She gave Jack a blowjob.|||39,101
catch u next tuesday|||callin sum guy or chick a cunt in shorti first heard it in american dad tv show|||'tams i got to go. francine is bein a real "catch u next tuesday"|||17,8
mosquito bites|||Breasts characterized by smallness of size, but with pointier, harder, and possibly longer nipples (similar in appearance to the raised area of skin after being bitten by a mosquito).|||She's got a small rack, but you've got to admit, those are some cute mosquito bites.|||559,171
mosquito bites|||When one's tatas are so small they look similar to mosquito bites.  The chick in a group of girls with the smallest bazooms.|||Wow Teresa you don't even need a bra for them mosquito bites!|||298,127
mosquito bites|||small breast|||why do you use a bra," mosquito bites"?|||100,56
mosquito bites|||1)A female suffering from undersized mammary glands. 2)An irreversible disorder that affects many unlucky women.3)Small ass boobs; This may correlate with flat asses.4)DONT MESS WITH DEM EASTFIELD NIGGAZZ...|||Blessy Thomas from Mesquite, Texas suffers from mosquito bites.|||78,43
mosquito bites|||Boobs that are extremely small. Boobs that are the size of mosquito bites|||I'm a guy and i have bigger boobs than that chick... She's got mosquito bites...|||38,32
mosquito bites|||mosquito bites is another phrase meaning no boobs at all|||omg that girll alice has no boobs she has mosquito bites|||45,57
mosquito bites|||really small muscles|||That guy has incredibly small mosquito bites|||22,74
pinched|||caught.|||Vinny shot the guy in front of a dozen people. He was sure to get pinched.|||277,134
pinched|||to get arrested by the police.... a very old term.|||I was pinched by the cops.|||169,45
