101|||101    |||noun|||a beginner's course.
3rd wheel|||3rd wheel    |||noun|||See .
411|||411    |||notes|||See .
5 by 5|||5 by 5    |||adjective|||See .
accident|||accident|||noun|||accidental act of urination or defecation.
accident|||accident|||noun|||unplanned child.
acid house|||acid house|||noun - uncountable|||genre of electronic music
acid rock|||acid rock|||noun - uncountable|||a genre of psychedelic rock music.
afk|||AFK    |||other|||acronym of "away from keyboard."  Commonly used in online textual communication, such as IM and chat.  One may "go" , as in the following example.
afk|||AFK    |||other|||acronym of "away from keyboard."  Commonly used in online textual communication, such as IM and chat.  Used to respond to a message, indicating that one isn't currently available.  (Of course, in this usage, "away from keyboard" isn't strictly true.)
air hanky|||air hanky||||||Clearing one's nostrils by holding one nostril closed with one finger and forcing the other nostril clear by pressure.
a little birdie told me|||a little birdie told me    |||interjection|||"A person who I will not disclose told me..."  Also .
alrighty|||alrighty    |||interjection|||"all right".
altitude|||altitude||||||one's high.  For example, "How is your ?" is asking someone about their high.
amf|||AMF    |||interjection|||acronym of "adios mother fucker."  One typically says this when one has caused an object to go a long distance, or to the wrong location, e.g. in the game of golf.
amf|||AMF    |||noun|||an alcoholic beverage.  Acronym of "adios mother fucker."
ammo|||ammo    |||noun|||abbreviated form of "ammunition".
angry dragon|||angry dragon    |||noun|||one of many made up "sex moves" that involve physical abuse of women.  For definitions, see .
ante up|||ante up||||||to contribute one's share.
a over t|||A over T||||||Arse over tip / arse over tit.  To fall upside-down.
apron|||apron||||||The excess skin/fat that hangs over and out of too tight pants and crop tops
as balls|||as balls|||adverb|||very.
assful|||assful    |||adjective|||displeasing.  See also the sense of  meaning "something which is displeasing."  Also ; .
ass out|||ass out|||adjective|||in an irreparably bad situation; "out of luck"; "".
ass out|||ass out|||adjective|||without money; BROKE.
ass out|||ass out|||verb|||to make a fool of oneself while under the influence of a substance, usually liquor.
ass out|||ass out|||verb|||to not attend a social gathering after already agreeing; TO FLAKE.
ass out|||ass out|||verb|||to be prevented access to a location because others are engaging in sexual congress within.
as the crow flies|||as the crow flies    ||||||in a straight line.  Generally used when discussing distances.  Any distance "" neglects barriers (man-made or natural, such as traffic, mountains, waterways, etc.) that might hinder one's travel.
ate up|||ate up    |||adjective|||strange, stupid; "weird".
ate up|||ate up    |||adjective|||not "squared away" (i.e. not organized or prepared: a mess.)  If someone does something poorly, they're "."  Origin: the United States military. In the example phrase, "soup sandwich" is an example of something messy.  Note:  may be the correct spelling.
ate up|||ate up    |||adjective|||burnt out or exhausted from the use of illegal drugs, usually  (MDMA).
ate up|||ate up    |||adjective|||outdone or outperformed in a contest, such as a sporting event.
ate up|||ate up    |||adjective|||crazy; insane.
ate up|||ate up    |||adjective|||interested, to the point of near obsession.
ate up|||ate up    |||adjective|||to be consumed with an incurable illness.
atl|||ATL||||||Atlanta, Georgia, USA.  From the Atlanta International Airport's code "".
attention whore|||attention whore    |||noun|||a person who behaves in an exaggerated way simply to attract attention.
auger|||auger|||verb|||Flying term for crashing. Usually used for spiraling in.
auger|||auger|||verb|||Any action that resembles a spiral boring action into another substrate.   "I plan to  into that bar stool until I drink my fill of ye olde tasty beverage."
avatard|||Avatard    |||noun|||a fan of the movie .
baby's momma|||baby's momma|||noun|||the mother of a child.
bacon|||bacon|||noun - uncountable|||the police.  See also .
bag fries|||bag fries    |||noun - plural|||the French-fries that fall out of the French-fry container due to vibration or bag movement, and settle to the bottom of the bag.  Compare with "lost fries".
baggage|||baggage|||noun - uncountable|||emotional burdens from one's past.
baggage|||baggage|||noun - uncountable|||characteristics that are an impediment to something, especially dating.
bake|||bake|||verb|||to flatulate.  Also .
bake|||bake|||verb|||to insult or make a joke at someone's expense.
bake|||bake|||verb|||of a software fix or repair, to wait a period of time to ensure the fix works as expected before considering it finalized.
bake|||bake|||verb - intransitive|||to smoke marijuana.
baldy|||Baldy    |||noun|||a person who is completely or partially bald.
baldy|||Baldy    |||noun - uncountable|||form of address or reference for a person who is completely bald or balding.
balls of steel|||balls of steel|||noun - plural|||metaphorical testicles that people with courage or gall have.
bamboozle|||bamboozle    |||verb - transitive|||to deceive using underhanded methods; ""; "".
band-aid|||band-aid||||||a temporary or inadequate fix for a problem.
bang|||bang    |||noun|||an exclamation point.
bang|||bang    |||verb - intransitive|||to be very good; "be ".
bang|||bang    |||verb - intransitive|||to be stylish.
bang|||bang    |||verb - intransitive|||to be very attractive.
bang|||bang    |||verb - intransitive|||to be in a street gang. Short for "gang ."
