iro|||International Ragnarok Online, with a large majority of users coming from North Americe. There are four servers: Chaos and Loki, which are the two biggest, Iris, which is smaller and generally newer, and Sakray, the test server with 2x exp and drops. Some people like to complain about the bots and lag, but for the most part, they are probably little 12-year-old boys that jerk off to doujinshi.|||Player 1: omg, fuck iRO, tihs lag is sooo fcking bad... omg, their r sooo many bot on this map... omg, teh GMs suck, they dont do shit... Player 2: Dude, shut the fuck up. The lag is nowhere near as bad as in pRO or kRO, there are bots in every MMORPG, and the GMs are very professional and spell better than your trailer trash mom. Player 1: OMGWTF???|||21,9
iro|||International Ragnarok = LAG. The official Ragnarok Online Server, nobody where you are, you will always get lag. And dont even mind entering a town, its horrible!|||Because of lag, a poring killed me. xDLots of wizards where doing Ice Walls in Prontera.|||7,5
iro|||"Sorry." Derived from the epitomy of sorrow that is International Ragnarok.|||Dear all user... please get off the server, we're iRO!|||7,7
iro|||A Ragnarok Online server. Lag depends on your connections, and of course, to reduce it lower your image quality.Horribly known because of the many bots there are. Although if they are not bots they are actually very nice.|||I rather stay in a private server than in iRO... But of course... I got friends in iRO...|||8,10
iro|||a mohawk (derived from iroquoise)|||-Jay shaved his hair into an iro and spiked it up with cheep bear and sour cream -Haha, what a dolt!|||1,4
iro|||The pirate alphabet. It's made of 3 letters."I' or "aye!" - means hello, greetings, good day."R" or "arrrrrrrrr" - means planning something evil, or just frustration"O" or "ooooh!" - means I just got pwned.<!--- NOTE TO URBAN DICTIONARY EDITORS: please upload the following picture to go with the definition:h t t p://mikerbaker.com/knack/wp-content/uploads/2007/09/pirate_alpha_tn.jpgTHANKS, PLEASE REMOVE THIS NOTE FROM THE DEFINITION! ---!>|||Aye, youngsters it's time to sing yer alphabet... IRO, IRO, IRO, IRO...|||3,8
Capoeira|||Capoeira is a combination of dance, ritual, and martial arts that developed out of the Portugese trade of African slaves to Brazil during the 16th century. Capoeira was illegal in Brazil until the 1930's. The ritual game begins with two players squatting in a circle, or roda, of spectators. The players rest at the feet of a single-stringed instrument, or berimbau, and one player sings a commencement song. The other player can sing in response or remain silent to allow the first player to sing the announcement that the game has started. The musician at the berimbau then picks up the song as the players move to the center of the circle. The lead berimbauist is the Mestre, or master of the capoeira game. The roda chants, sings, and drums under the direction of the Mestre. The players and the Mestre carry on a dialogue during the game; the music sets the tempo for the tricks that a player can use. A player may also improvise his movements according to the musical commentary the Mestre gives to his performance. The Mestre in turn may play music that reflects the players' attitudes, reactions and strategies.|||The goal of the game, or jogo, is to catch the opponent off-guard using guile, technique and gymnastics. Players can fake each other out using rapid kicks, cartwheels, handstands, leg sweeps, flips, jabs, dodges, and turns. The base movement, and the one most often used by beginners, is a side-to-side motion in a semi-crouched stance called ginga. Unlike most martial arts, strikes are admired most when there is no physical contact. A player gains the most applause when the other player has been skillfully baited into a vulnerable, off-balance position, but has not actually fallen or been hit. Although there is no point system, and no official winners or losers, players can be disqualified for falling into a seated position or, in some forms of capoeira, using their hands to strike. Some speculate that the lack of hand use in capoeira harkens back to an ancient Kongo saying: "hands are to build, feet are to destroy." Modern martial artists have two main choices for capoeira techniques and philosophy. Angolan capoeira is the more traditional form, with slow, dance-like steps while Regional capoeira relies much more on high-energy acrobatics. Capoeira today is truly a global phenomenon with schools teaching Angolan, Regional and dozens of fusion styles in major cities all over the world.|||886,229
Capoeira|||Afro-brazilian martial art of unclear origin.  Many believe that it was an adapted fighting style, hidden behind the guise of dance to fool captors due to the learning of self defense amongst slaves was forbidden (since they did not want the slaves to present a threat to them, or to injure themselves and thus become uneconomical); or merely the adaption of the 'Lions Dance' - a ritual performed in certain parts of africa during the rite of ascention when a boy became a man (to atract females through prowess and physical ability) and still others believe other things.  There is numerous evidence for and against each theory presented.  What we do however know is that Capoeira is a graceful art, half fighting and half dancing, closely linked to the learning and performance of not only the lethal attacks, the mind-defying 'style moves' and the playing of instruments: such as the berimbau (long, wooden, single-stringed instrument with a gourd near the bottom played by striking the string).|||We're holding a Capoeira demonstration at the beach this Sunday.  Bring a friend.|||262,41
Capoeira|||A Brazilian marial art that was invented by slaves which was made to look like dance.  It is recognized as both a style of dance and fighting.|||Eddie Gordo from tekken 3 fought using capoeira|||118,38
Capoeira|||A Brazilian Martial Art created by African slaves in Brazil to fight for freedom so that they could be released from the Puertoguese slave traders, which they created a self-defense fighting system to defend themselves against.|||"Brazilian Martial Art that kicks ass"!|||69,48
