n|||Kelsey Bales|||Stupid. Low IQ. Just overall bad... especially at chemistry|||person 1: Do you know that kelsey bales girl?person 2: Yeah, she's stupid|||12,1
g|||rustom|||An awesome, articulate and savvy guy who tends to make girls melt on sight.|||Hugh Jackman looked like a rustom at the Oscars last night.|||32,16
g|||rustom|||Rustom is a humerous filo and easy to get along with.Although not gorgeous, he has some attractions.Has relationship issues with his girlfriend Maddie.Rustom has many female friends who make a big deal about him and try to make Maddie jealous.These girls are all fat and ugly. (:|||Obsessive girl: Rustom is my bestfriend. He deserves better lalalalala.Maddie: Fuck off. :/|||13,4
g|||Beiberfile|||A younger person (under the age of 16) crushing on someone much older then them. Usually a bieber fan, aged between 4-12 who wants to marry Justin Bieber who is nearly twice their age.|||John: Oh my God That girl is such a beiberfileJane: I know right he's nearly twice her age.|||3,1
g|||Beiberfile|||A person aged 18 or over who feels lust towards the mini Canadian.|||My sister is 29 and she told me she had a sex dream about Justin Beiber she is for sure a Beiberfile|||1,1
g|||Berry Banging|||When two men are having sex, the act of their testicles smashing up against each other.|||Those guys were going at it hard. They were berry banging.|||7,2
g|||Monday-to-Friday|||A euphemism for mother-f***ing.  Recently seen in the televised version of Snakes on a Plane.|||Samuel L. Jackson:  I have had it with these monkey-fighting snakes on this Monday-to-Friday plane!  (Cocks gun.)|||54,16
g|||Monday-to-Friday|||Monday to friday makes for a euphemism of 'motherfucking hell' which reflects the general notion the working life some may lead towards duty.|||Oh 'monday to friday' about the bosses duties, can he not relax a little.How in the 'monday to friday' are we supposed to achieve this duty.|||3,1
n|||ishower|||ish then shower.You do them together a lot huh.|||Dude when i get home from practice I'm taking the ill ishower|||0,1
g|||goose-breading|||The act of having one's sexual partner dress as a goose and consume a slice of bread hanging from one's urinary tract.|||Megan and Tom's fading sex life was quickly reinvigorated when they began goose-breading; as prescribed by a sexual therapist.John: Boy, my foreskin is really itching today!Jack: Did you try goose breading again?|||2,-1
g|||dog burgers|||A hamburger cut in half placed in a hot dog bun.|||Holy shit! All we have are hot dog buns. Dammit. Dog burgers then, so be it.|||0,0
g|||urb-dik|||short for URBAN DICTIONARYwhen a girl smokes some herb wit dik in her mouff|||dude1- neku look up penis popper on urb-dikdude2- urb-dik?? man wtf you snortin??dude3- URBAN DICTIONARY dip shitdude2- ............pass the herb........|||1,0
g|||Pateman|||A male with incredibly hairy ears.|||"Wow, have you see his ears! They're so hairy!" "Oh yea, must be a Pateman."|||12,3
g|||shoobiewomper|||a funking whitey ass bitch from a rich ass neighborhood that comes down to the beach with sandles|||"hey man look at that fuking shoobiewomper hes actually exceeding the max shoobiness"|||3,2
n|||shoobiewomper|||well, all there is to say is that you ARE a shoobie womper if u are fucking someone with a fanniepack.|||look at that fucking shoobiewomper hes like doing a shoobie!|||1,8
g|||Brundies|||1. Noun. Plural. A combination of the two words "Bras" and "Undies". Encompasses both previously mentioned clothing articles, or can be used to describe any (conventional) female undergarments. Merged for greater convenience. Cannot be used as a singular.|||1. "I need to go shopping for some more brundies."or"She wears matching brundies."|||4,0
g|||hawesome|||a variant of awesome which includes the pronunciation of the implicit "silent h".  It describes something with the characteristic of being exceedingly awesome.|||Dude, you ate seven double cheeseburgers... that's hawesome!|||64,13
g|||hawesome|||Used whenever Sacramento Kings player Spencer Hawes does something awesome.|||*Spencer Hawes goes for a slam dunk*"That was HAWESOME!"|||36,14
g|||hawesome|||(adj) a combination of "haha" and "awesome" to describe something so funny you can't get out two words separate words.|||girl: "i'm on the bus and there's a woman talking like she inhaled an entire balloon. children talk in a lower pitch than her."friend: "hawesome"|||17,6
g|||hawesome|||hot + awesome = hawesome. A totally mind-blowing, fantastic person you can't get enough of. They are drop dead gorgeous and legen..... wait for it...... dary all at the same time. Truly a gift from heaven above.|||Janice is hawesome.Hey Trish, do you know Jackson Avery? He's hawesome.|||6,5
n|||hawesome|||awesome spelled with an H|||That was an hawesome movie|||9,9
